INSERT INTO `petcare_db`.`animais` (id_animal, animal_nome, porte, especie, cor, raca, imagem, animal_descricao, animal_rg, status, fk_animais_id_usuario) VALUES
(160, 'Pantera', 'Grande', 'Canina', 'Preto', 'Rottweiler', '/imagens/canina/pantera.jpg', 'Excelente cão de guarda.', '000010005', 'Adotado', 789),
(161, 'Léo', 'Médio', 'Canina', 'Bege', 'Golden Retriever', '/imagens/canina/leo.jpg', 'Companheiro leal.', NULL, 'Disponível', 543),
(162, 'Fiona', 'Grande', 'Canina', 'Cinza', 'Fila Brasileiro', '/imagens/canina/fiona.jpg', 'Muito calma.', '000010006', 'Desaparecido', 234),
(163, 'Juju', 'Pequeno', 'Felina', 'Branco e Preto', 'Pitbull', '/imagens/felina/juju.jpg', 'Gosta de carinho.', NULL, 'Disponível', 888),
(164, 'Thor', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/thor.jpg', 'Muito brincalhão.', '000010007', 'Disponível', 101),
(165, 'Mel', 'Pequeno', 'Felina', 'Preto', 'Bombay', '/imagens/felina/mel.jpg', 'Amável e tímida.', NULL, 'Adotado', 600),
(166, 'Apollo', 'Médio', 'Canina', 'Cinza e Preto', 'Schnauzer', '/imagens/canina/apollo.jpg', 'Muito inteligente.', '000010008', 'Disponível', 32),
(167, 'Lilica', 'Pequeno', 'Canina', 'Caramelo', 'Pug', '/imagens/canina/lilica.jpg', 'Gosta de dormir no sofá.', NULL, 'Disponível', 777),
(168, 'Tom', 'Pequeno', 'Felina', 'Cinza Claro', 'British Shorthair', '/imagens/felina/tom.jpg', 'Muito sociável.', '000010009', 'Disponível', 456),
(169, 'Lola', 'Médio', 'Canina', 'Branco', 'Buldogue Francês', '/imagens/canina/lola.jpg', 'Tem muita energia.', NULL, 'Adotado', 22),
(170, 'Sasha', 'Grande', 'Canina', 'Marrom e Preto', 'Bernese', '/imagens/canina/sasha.jpg', 'Perfeita para companhia.', '000010010', 'Disponível', 901),
(171, 'Spike', 'Grande', 'Canina', 'Preto e Marrom', 'Rottweiler', '/imagens/canina/spike.jpg', 'Excelente cão de guarda.', '931258703', 'Disponível', 580),
(172, 'Bela', 'Pequeno', 'Felina', 'Branco', 'Persa', '/imagens/felina/bela.jpg', 'Muito carinhosa.', '401239484', 'Adotado', 123),
(173, 'Thorinho', 'Médio', 'Canina', 'Marrom Claro', 'Vira-lata', '/imagens/canina/thorinho.jpg', 'Adora brincar.', NULL, 'Disponível', 765),
(174, 'Luluca', 'Pequeno', 'Felina', 'Cinza e Branco', 'Siberiano', '/imagens/felina/luluca.jpg', 'Muito tranquila.', '334666625', 'Adotado', 333),
(175, 'Tigre', 'Grande', 'Canina', 'Tigrado', 'Boxer', '/imagens/canina/tigre.jpg', 'Muito leal.', NULL, 'Disponível', 998),
(176, 'Naná', 'Pequeno', 'Felina', 'Preto', 'Bombay', '/imagens/felina/nana.jpg', 'Sociável e brincalhona.', '124174504', 'Disponível', 444),
(177, 'Fofão', 'Grande', 'Canina', 'Cinza', 'Mastiff', '/imagens/canina/fofao.jpg', 'Muito dócil.', NULL, 'Adotado', 10),
(178, 'Pipoca', 'Pequeno', 'Felina', 'Rajado', 'Pitbull', '/imagens/felina/pipoca.jpg', 'Gosta de janelas.', '879691489', 'Disponível', 678),
(179, 'Rubi', 'Médio', 'Canina', 'Bege', 'Beagle', '/imagens/canina/rubi.jpg', 'Ativa e esperta.', NULL, 'Desaparecido', 201),
(180, 'Chocolate', 'Grande', 'Canina', 'Marrom Escuro', 'Labrador', '/imagens/canina/chocolate.jpg', 'Muito brincalhão.', NULL, 'Disponível', 812),
(181, 'Amora', 'Pequeno', 'Felina', 'Cinza', 'Chartreux', '/imagens/felina/amora.jpg', 'Muito observadora.', '168265618', 'Disponível', 50),
(182, 'Teo', 'Médio', 'Canina', 'Branco e Caramelo', 'Basset Hound', '/imagens/canina/teo.jpg', 'Muito calmo.', NULL, 'Disponível', 700),
(183, 'Kiara', 'Pequeno', 'Felina', 'Preto e Branco', 'Pitbull', '/imagens/felina/kiara.jpg', 'Carinhosa.', '810871310', 'Adotado', 1),
(184, 'Ziggy', 'Grande', 'Canina', 'Preto', 'Pastor Belga', '/imagens/canina/ziggy.jpg', 'Muito atento.', NULL, 'Disponível', 921),
(185, 'Maggie', 'Médio', 'Canina', 'Branco', 'Poodle', '/imagens/canina/maggie.jpg', 'Muito vaidosa.', '816926541', 'Disponível', 203),
(186, 'Cacau', 'Pequeno', 'Felina', 'Marrom e Preto', 'Pitbull', '/imagens/felina/cacau.jpg', 'Misteriosa e quieta.', NULL, 'Desaparecido', 987),
(187, 'Simba', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/simba.jpg', 'Muito amigável.', '471238772', 'Disponível', 432),
(188, 'Lua', 'Pequeno', 'Felina', 'Branco', 'Angorá', '/imagens/felina/lua.jpg', 'Muito calma.', NULL, 'Adotado', 112),
(189, 'Max', 'Médio', 'Canina', 'Cinza', 'Schnauzer', '/imagens/canina/max.jpg', 'Muito esperto.', '878204717', 'Disponível', 876),
(190, 'Estrela', 'Pequeno', 'Felina', 'Preto e Laranja', 'Calico', '/imagens/felina/estrela.jpg', 'Linda e tímida.', NULL, 'Disponível', 301),
(191, 'Léo', 'Grande', 'Canina', 'Preto', 'Doberman', '/imagens/canina/leo.jpg', 'Atento e fiel.', '516270209', 'Disponível', 654),
(192, 'Tina', 'Pequeno', 'Felina', 'Cinza', 'Pitbull', '/imagens/felina/tina.jpg', 'Muito dorminhoca.', NULL, 'Adotado', 99),
(193, 'Ozzy', 'Médio', 'Canina', 'Branco', 'Fox Terrier', '/imagens/canina/ozzy.jpg', 'Muito enérgico.', '606883859', 'Disponível', 789),
(194, 'Mimi', 'Pequeno', 'Felina', 'Rajado', 'Pitbull', '/imagens/felina/mimi.jpg', 'Adora colo.', NULL, 'Disponível', 543),
(195, 'Bolt', 'Grande', 'Canina', 'Cinza', 'Weimaraner', '/imagens/canina/bolt.jpg', 'Muito atlético.', '165839688', 'Adotado', 234),
(196, 'Sushi', 'Pequeno', 'Felina', 'Branco e Preto', 'Pitbull', '/imagens/felina/sushi.jpg', 'Curiosa e arteira.', NULL, 'Disponível', 888),
(197, 'Zara', 'Médio', 'Canina', 'Marrom', 'Pitbull', '/imagens/canina/zara.jpg', 'Muito companheira.', '883540799', 'Disponível', 101),
(198, 'Tom', 'Grande', 'Canina', 'Preto', 'Pastor Alemão', '/imagens/canina/tom.jpg', 'Excelente farejador.', NULL, 'Disponível', 600),
(199, 'Lili', 'Pequeno', 'Felina', 'Cinza', 'Pitbull', '/imagens/felina/lili.jpg', 'Muito dócil.', '166079950', 'Adotado', 32),
(200, 'Nina', 'Médio', 'Canina', 'Caramelo', 'Pitbull', '/imagens/canina/nina.jpg', 'Adora correr.', NULL, 'Disponível', 777),
(201, 'Garfield', 'Grande', 'Felina', 'Laranja', 'Pitbull', '/imagens/felina/garfield.jpg', 'Muito comilão.', '383263795', 'Desaparecido', 456),
(202, 'Cleo', 'Pequeno', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/cleo.jpg', 'Muito carente.', NULL, 'Adotado', 22),
(203, 'Apollo', 'Grande', 'Canina', 'Preto', 'Labrador', '/imagens/canina/apollo.jpg', 'Muito ativo.', '516917855', 'Disponível', 901),
(204, 'Mel', 'Pequeno', 'Felina', 'Marrom', 'Pitbull', '/imagens/felina/mel.jpg', 'Muito carinhosa.', NULL, 'Disponível', 580),
(205, 'Rex', 'Médio', 'Canina', 'Cinza', 'Husky Siberiano', '/imagens/canina/rex.jpg', 'Muito resistente.', '347672545', 'Adotado', 123),
(206, 'Tigrinha', 'Pequeno', 'Felina', 'Rajada', 'Pitbull', '/imagens/felina/tigrinha.jpg', 'Muito ágil.', NULL, 'Disponível', 765),
(207, 'Jack', 'Grande', 'Canina', 'Preto', 'Pitbull', '/imagens/canina/jack.jpg', 'Muito brincalhão.', '937898182', 'Disponível', 333),
(208, 'Nemo', 'Pequeno', 'Felina', 'Branco e Laranja', 'Pitbull', '/imagens/felina/nemo.jpg', 'Curioso e amigável.', NULL, 'Adotado', 998),
(209, 'Luna', 'Médio', 'Canina', 'Caramelo', 'Pitbull', '/imagens/canina/luna.jpg', 'Muito protetora.', '830739583', 'Disponível', 444),
(210, 'Yuki', 'Pequeno', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/yuki.jpg', 'Muito sociável.', NULL, 'Disponível', 10),
(211, 'Scott', 'Grande', 'Canina', 'Cinza', 'Pitbull', '/imagens/canina/scott.jpg', 'Muito esperto.', '129191124', 'Disponível', 678),
(212, 'Sandy', 'Pequeno', 'Felina', 'Cinza Claro', 'Pitbull', '/imagens/felina/sandy.jpg', 'Tranquila e calma.', NULL, 'Adotado', 201),
(213, 'Bruce', 'Médio', 'Canina', 'Preto e Branco', 'Pitbull', '/imagens/canina/bruce.jpg', 'Muito forte.', '885715053', 'Disponível', 812),
(214, 'Tobby', 'Grande', 'Canina', 'Marrom', 'Pitbull', '/imagens/canina/tobby.jpg', 'Muito protetor.', NULL, 'Disponível', 50),
(215, 'Frajola', 'Pequeno', 'Felina', 'Preto e Branco', 'Pitbull', '/imagens/felina/frajola.jpg', 'Adora brincar com bolas.', '823953837', 'Disponível', 700),
(216, 'Pérola', 'Médio', 'Canina', 'Branco', 'Pitbull', '/imagens/canina/perola.jpg', 'Muito meiga.', NULL, 'Adotado', 1),
(217, 'Tigrão', 'Grande', 'Canina', 'Rajado', 'Pitbull', '/imagens/canina/tigrao.jpg', 'Muito observador.', '981864072', 'Disponível', 921),
(218, 'Chico', 'Pequeno', 'Felina', 'Preto', 'Pitbull', '/imagens/felina/chico.jpg', 'Gosta de brincar de esconder.', NULL, 'Disponível', 203),
(219, 'Olívia', 'Médio', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/olivia.jpg', 'Muito calma.', '251580092', 'Adotado', 987),
(220, 'Dudu', 'Pequeno', 'Canina', 'Caramelo', 'Pitbull', '/imagens/canina/dudu.jpg', 'Muito alegre.', '514807368', 'Disponível', 432),
(221, 'Pé de Pano', 'Grande', 'Canina', 'Branco', 'Pitbull', '/imagens/canina/pedepano.jpg', 'Muito companheiro.', NULL, 'Disponível', 112),
(222, 'Mochi', 'Pequeno', 'Felina', 'Cinza', 'Pitbull', '/imagens/felina/mochi.jpg', 'Muito fofo.', '596573627', 'Adotado', 876),
(223, 'Teco', 'Médio', 'Canina', 'Marrom', 'Pitbull', '/imagens/canina/teco.jpg', 'Muito esperto.', NULL, 'Disponível', 301),
(224, 'Panqueca', 'Pequeno', 'Felina', 'Laranja', 'Pitbull', '/imagens/felina/panqueca.jpg', 'Muito ativa.', '366926621', 'Disponível', 654),
(225, 'Hugo', 'Grande', 'Canina', 'Preto e Branco', 'Pitbull', '/imagens/canina/hugo.jpg', 'Muito brincalhão.', '371324159', 'Disponível', 99),
(226, 'Leona', 'Pequeno', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/leona.jpg', 'Muito calma.', NULL, 'Disponível', 789),
(227, 'Lipe', 'Médio', 'Canina', 'Cinza', 'Pitbull', '/imagens/canina/lipe.jpg', 'Muito obediente.', '354920417', 'Adotado', 543),
(228, 'Zuzu', 'Pequeno', 'Felina', 'Rajado', 'Pitbull', '/imagens/felina/zuzu.jpg', 'Muito mimada.', '893940481', 'Disponível', 234),
(229, 'Dara', 'Grande', 'Canina', 'Dourado', 'Pitbull', '/imagens/canina/dara.jpg', 'Muito amigável.', NULL, 'Desaparecido', 888),
(230, 'Malu', 'Pequeno', 'Felina', 'Preto', 'Pitbull', '/imagens/felina/malu.jpg', 'Muito fofa.', '760255259', 'Disponível', 101),
(231, 'Bidu', 'Médio', 'Canina', 'Azul-Cinza', 'Pitbull', '/imagens/canina/bidu.jpg', 'Muito protetor.', NULL, 'Disponível', 600),
(232, 'Nina Rosa', 'Pequeno', 'Felina', 'Branco e Preto', 'Pitbull', '/imagens/felina/ninarosa.jpg', 'Muito charmosa.', '108919759', 'Adotado', 32),
(233, 'Luke', 'Grande', 'Canina', 'Marrom Claro', 'Pitbull', '/imagens/canina/luke.jpg', 'Muito esperto.', '466847587', 'Disponível', 777),
(234, 'Marie', 'Pequeno', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/marie.jpg', 'Muito educada.', NULL, 'Disponível', 456),
(235, 'Zeca', 'Médio', 'Canina', 'Branco e Marrom', 'Pitbull', '/imagens/canina/zeca.jpg', 'Muito simpático.', '254737471', 'Disponível', 22),
(236, 'Flora', 'Pequeno', 'Felina', 'Cinza e Branco', 'Pitbull', '/imagens/felina/flora.jpg', 'Muito vaidosa.', NULL, 'Adotado', 901),
(237, 'Tommy', 'Grande', 'Canina', 'Tigrado', 'Pitbull', '/imagens/canina/tommy.jpg', 'Muito forte.', '802055652', 'Disponível', 580),
(238, 'Jujuba', 'Pequeno', 'Felina', 'Laranja', 'Pitbull', '/imagens/felina/jujuba.jpg', 'Muito alegre.', '489733428', 'Disponível', 123),
(239, 'Arlo', 'Médio', 'Canina', 'Bege', 'Pitbull', '/imagens/canina/arlo.jpg', 'Muito sociável.', NULL, 'Disponível', 765),
(240, 'Luna Blue', 'Pequeno', 'Felina', 'Azul-Cinza', 'Pitbull', '/imagens/felina/lunablue.jpg', 'Muito tímida.', '742970316', 'Disponível', 333),
(241, 'Biscoito', 'Grande', 'Canina', 'Amarelo', 'Pitbull', '/imagens/canina/biscoito.jpg', 'Muito dócil.', NULL, 'Desaparecido', 998),
(242, 'Candy', 'Pequeno', 'Felina', 'Rajado Claro', 'Pitbull', '/imagens/felina/candy.jpg', 'Muito fofa.', '396520258', 'Disponível', 444),
(243, 'Oreo', 'Médio', 'Canina', 'Preto e Branco', 'Pitbull', '/imagens/canina/oreo.jpg', 'Muito agitado.', NULL, 'Adotado', 10),
(244, 'Fumaça', 'Grande', 'Canina', 'Cinza', 'Pitbull', '/imagens/canina/fumaca.jpg', 'Muito protetor.', '672595954', 'Disponível', 678),
(245, 'Lili Pop', 'Pequeno', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/lilipop.jpg', 'Muito carinhosa.', NULL, 'Disponível', 201),
(246, 'Bartô', 'Médio', 'Canina', 'Caramelo', 'Pitbull', '/imagens/canina/barto.jpg', 'Muito ativo.', '325417339', 'Adotado', 812),
(247, 'Fifí', 'Pequeno', 'Felina', 'Cinza e Preto', 'Pitbull', '/imagens/felina/fifi.jpg', 'Muito observadora.', NULL, 'Disponível', 50),
(248, 'Bolt Jr.', 'Grande', 'Canina', 'Preto', 'Pitbull', '/imagens/canina/boltjr.jpg', 'Muito veloz.', '970637926', 'Disponível', 700),
(249, 'Maya', 'Pequeno', 'Felina', 'Tricolor', 'Pitbull', '/imagens/felina/maya.jpg', 'Muito charmosa.', NULL, 'Adotado', 1),
(250, 'Pingo', 'Médio', 'Canina', 'Marrom e Branco', 'Pitbull', '/imagens/canina/pingo.jpg', 'Muito brincalhão.', '658411510', 'Disponível', 921),
(251, 'Mimi Blue', 'Pequeno', 'Felina', 'Cinza Azul', 'Pitbull', '/imagens/felina/mimiblue.jpg', 'Muito dengosa.', '664274351', 'Disponível', 203),
(252, 'Frodo', 'Grande', 'Canina', 'Castanho', 'Pitbull', '/imagens/canina/frodo.jpg', 'Muito aventureiro.', NULL, 'Disponível', 987),
(253, 'Babi', 'Pequeno', 'Felina', 'Preto', 'Pitbull', '/imagens/felina/babi.jpg', 'Muito ágil.', NULL, 'Adotado', 432),
(254, 'Bóris', 'Médio', 'Canina', 'Cinza', 'Pitbull', '/imagens/canina/boris.jpg', 'Muito atento.', '162146114', 'Disponível', 112),
(255, 'Sol', 'Pequeno', 'Felina', 'Amarelo Claro', 'Pitbull', '/imagens/felina/sol.jpg', 'Muito simpática.', NULL, 'Disponível', 876),
(256, 'Neguinha', 'Grande', 'Canina', 'Preto', 'Pitbull', '/imagens/canina/neguinha.jpg', 'Muito companheira.', '113467822', 'Adotado', 301),
(257, 'Oliver', 'Pequeno', 'Felina', 'Branco e Cinza', 'Pitbull', '/imagens/felina/oliver.jpg', 'Muito curioso.', NULL, 'Disponível', 654),
(258, 'Tron', 'Médio', 'Canina', 'Marrom', 'Pitbull', '/imagens/canina/tron.jpg', 'Muito forte.', '975502530', 'Disponível', 99),
(259, 'Lolita', 'Pequeno', 'Felina', 'Tricolor', 'Pitbull', '/imagens/felina/lolita.jpg', 'Muito charmosa.', NULL, 'Disponível', 789),
(260, 'Joca', 'Grande', 'Canina', 'Bege', 'Pitbull', '/imagens/canina/joca.jpg', 'Muito calmo.', '447085362', 'Disponível', 543),
(261, 'Pipa', 'Pequeno', 'Felina', 'Laranja Claro', 'Pitbull', '/imagens/felina/pipa.jpg', 'Muito brincalhona.', NULL, 'Adotado', 234),
(262, 'Zeus Jr.', 'Médio', 'Canina', 'Preto e Marrom', 'Pitbull', '/imagens/canina/zeusjr.jpg', 'Muito leal.', '980534995', 'Disponível', 888),
(263, 'Morgana', 'Pequeno', 'Felina', 'Cinza Escuro', 'Pitbull', '/imagens/felina/morgana.jpg', 'Muito misteriosa.', NULL, 'Disponível', 101),
(264, 'Cadu', 'Grande', 'Canina', 'Preto', 'Pitbull', '/imagens/canina/cadu.jpg', 'Muito destemido.', '188842961', 'Disponível', 600),
(265, 'Nani', 'Pequeno', 'Felina', 'Branco', 'Pitbull', '/imagens/felina/nani.jpg', 'Muito apegada.', NULL, 'Adotado', 32),
(266, 'Luna', 'Pequeno', 'Felina', 'Branco', 'Siamês', '/imagens/felina/luna.jpg', 'Muito elegante.', '812345678', 'Disponível', 777),
(267, 'Rex', 'Grande', 'Canina', 'Marrom', 'Pastor Alemão', '/imagens/canina/rex.jpg', 'Muito protetor.', NULL, 'Disponível', 456),
(268, 'Mia', 'Médio', 'Felina', 'Cinza', 'Maine Coon', '/imagens/felina/mia.jpg', 'Muito dócil.', '823456789', 'Adotado', 22),
(269, 'Thor', 'Grande', 'Canina', 'Preto e Branco', 'Bulldog', '/imagens/canina/thor.jpg', 'Forte e corajoso.', NULL, 'Disponível', 901),
(270, 'Nina', 'Pequeno', 'Felina', 'Rajado', 'Bengal', '/imagens/felina/nina.jpg', 'Muito curiosa.', '834567890', 'Disponível', 580),
(271, 'Zeus', 'Grande', 'Canina', 'Dourado', 'Golden Retriever', '/imagens/canina/zeus.jpg', 'Amigável e leal.', NULL, 'Disponível', 123),
(272, 'Lili', 'Pequeno', 'Felina', 'Preto', 'Sphynx', '/imagens/felina/lili.jpg', 'Extremamente carinhosa.', '845678901', 'Disponível', 765),
(273, 'Max', 'Médio', 'Canina', 'Cinza', 'Husky Siberiano', '/imagens/canina/max.jpg', 'Energia sem fim.', NULL, 'Adotado', 333),
(274, 'Bella', 'Pequeno', 'Felina', 'Branco e Cinza', 'Persa', '/imagens/felina/bella.jpg', 'Muito tranquila.', NULL, 'Disponível', 998),
(275, 'Jack', 'Grande', 'Canina', 'Preto', 'Rottweiler', '/imagens/canina/jack.jpg', 'Proteção garantida.', '856789012', 'Disponível', 444),
(276, 'Sasha', 'Pequeno', 'Felina', 'Marrom Claro', 'Birmanês', '/imagens/felina/sasha.jpg', 'Muito dócil.', NULL, 'Disponível', 10),
(277, 'Spike', 'Grande', 'Canina', 'Marrom', 'Doberman', '/imagens/canina/spike.jpg', 'Atento e corajoso.', NULL, 'Adotado', 678),
(278, 'Mimi', 'Pequeno', 'Felina', 'Cinza Claro', 'Ragdoll', '/imagens/felina/mimi.jpg', 'Extremamente amigável.', '867890123', 'Disponível', 201),
(279, 'Buddy', 'Médio', 'Canina', 'Caramelo', 'Beagle', '/imagens/canina/buddy.jpg', 'Muito brincalhão.', NULL, 'Disponível', 812),
(280, 'Jade', 'Pequeno', 'Felina', 'Preto e Branco', 'Scottish Fold', '/imagens/felina/jade.jpg', 'Muito esperta.', NULL, 'Disponível', 50),
(281, 'Rocky', 'Grande', 'Canina', 'Branco e Preto', 'Boxer', '/imagens/canina/rocky.jpg', 'Cheio de energia.', '878901234', 'Disponível', 700),
(282, 'Lola', 'Pequeno', 'Felina', 'Cinza e Branco', 'Azul Russo', '/imagens/felina/lola.jpg', 'Muito carinhosa.', NULL, 'Adotado', 1),
(283, 'Charlie', 'Médio', 'Canina', 'Preto e Marrom', 'Cocker Spaniel', '/imagens/canina/charlie.jpg', 'Muito amigável.', NULL, 'Disponível', 921),
(284, 'Maggie', 'Pequeno', 'Felina', 'Branco', 'Norueguês da Floresta', '/imagens/felina/maggie.jpg', 'Muito doce.', '889012345', 'Disponível', 203),
(285, 'Duke', 'Grande', 'Canina', 'Preto', 'Akita', '/imagens/canina/duke.jpg', 'Muito protetor.', NULL, 'Disponível', 987),
(286, 'Cleo', 'Pequeno', 'Felina', 'Tricolor', 'Bombay', '/imagens/felina/cleo.jpg', 'Charmosa e ativa.', NULL, 'Adotado', 432),
(287, 'Rudy', 'Médio', 'Canina', 'Marrom e Branco', 'Border Collie', '/imagens/canina/rudy.jpg', 'Inteligente e obediente.', NULL, 'Disponível', 112),
(288, 'Flora', 'Pequeno', 'Felina', 'Laranja', 'Angorá', '/imagens/felina/flora.jpg', 'Muito meiga.', '890123456', 'Disponível', 876),
(289, 'Oscar', 'Grande', 'Canina', 'Caramelo', 'Dálmata', '/imagens/canina/oscar.jpg', 'Muito ativo.', NULL, 'Adotado', 301),
(290, 'Kiki', 'Pequeno', 'Felina', 'Cinza e Branco', 'Exótico', '/imagens/felina/kiki.jpg', 'Muito brincalhona.', NULL, 'Disponível', 654),
(291, 'Zephyr', 'Médio', 'Canina', 'Marrom Escuro', 'Shih Tzu', '/imagens/canina/zephyr.jpg', 'Pequeno e animado.', '901234567', 'Disponível', 99),
(292, 'Daisy', 'Pequeno', 'Felina', 'Preto e Cinza', 'Manx', '/imagens/felina/daisy.jpg', 'Muito independente.', NULL, 'Disponível', 789),
(293, 'Bentley', 'Grande', 'Canina', 'Preto e Branco', 'Pitbull', '/imagens/canina/bentley.jpg', 'Forte e amigável.', NULL, 'Disponível', 543),
(294, 'Pixie', 'Pequeno', 'Felina', 'Branco', 'Oriental', '/imagens/felina/pixie.jpg', 'Muito ativa.', '912345678', 'Disponível', 234),
(295, 'Sam', 'Médio', 'Canina', 'Caramelo e Branco', 'Pug', '/imagens/canina/sam.jpg', 'Muito simpático.', NULL, 'Adotado', 888),
(296, 'Luna', 'Pequeno', 'Felina', 'Cinza e Preto', 'Abissínio', '/imagens/felina/luna2.jpg', 'Curiosa e inteligente.', NULL, 'Disponível', 101),
(297, 'Apollo', 'Grande', 'Canina', 'Marrom', 'Dachshund', '/imagens/canina/apollo.jpg', 'Determinado e esperto.', '923456789', 'Disponível', 600),
(298, 'Molly', 'Pequeno', 'Felina', 'Branco e Preto', 'Bombay', '/imagens/felina/molly.jpg', 'Dócil e afetuosa.', NULL, 'Disponível', 32),
(299, 'Bruno', 'Médio', 'Canina', 'Preto e Cinza', 'Cane Corso', '/imagens/canina/bruno.jpg', 'Muito forte e leal.', NULL, 'Adotado', 777),
(300, 'Zara', 'Pequeno', 'Felina', 'Laranja', 'Scottish Fold', '/imagens/felina/zara.jpg', 'Calma e carinhosa.', '934567890', 'Disponível', 456),
(301, 'Diesel', 'Grande', 'Canina', 'Cinza', 'Great Dane', '/imagens/canina/diesel.jpg', 'Imponente e gentil.', NULL, 'Disponível', 22),
(302, 'Lily', 'Pequeno', 'Felina', 'Cinza Claro', 'Persa', '/imagens/felina/lily.jpg', 'Muito tranquila.', NULL, 'Adotado', 901),
(303, 'Bailey', 'Médio', 'Canina', 'Marrom Claro', 'Basset Hound', '/imagens/canina/bailey.jpg', 'Calmo e amigável.', NULL, 'Disponível', 580),
(304, 'Chloe', 'Pequeno', 'Felina', 'Branco e Cinza', 'Ragdoll', '/imagens/felina/chloe.jpg', 'Doce e sociável.', '945678901', 'Disponível', 123),
(305, 'Bear', 'Grande', 'Canina', 'Preto e Marrom', 'Bernese Mountain Dog', '/imagens/canina/bear.jpg', 'Forte e gentil.', NULL, 'Disponível', 765),
(306, 'Suki', 'Pequeno', 'Felina', 'Preto e Branco', 'Siberiano', '/imagens/felina/suki.jpg', 'Muito ativa.', NULL, 'Disponível', 333),
(307, 'Ace', 'Médio', 'Canina', 'Marrom', 'Weimaraner', '/imagens/canina/ace.jpg', 'Ágil e inteligente.', '956789012', 'Disponível', 998),
(308, 'Penny', 'Pequeno', 'Felina', 'Cinza', 'British Shorthair', '/imagens/felina/penny.jpg', 'Calma e carinhosa.', NULL, 'Adotado', 444),
(309, 'Duke', 'Grande', 'Canina', 'Preto', 'Doberman', '/imagens/canina/duke2.jpg', 'Forte e vigilante.', NULL, 'Disponível', 10),
(310, 'Coco', 'Pequeno', 'Felina', 'Marrom', 'Burmese', '/imagens/felina/coco.jpg', 'Muito brincalhona.', '967890123', 'Disponível', 678),
(311, 'Finn', 'Médio', 'Canina', 'Caramelo', 'Australian Shepherd', '/imagens/canina/finn.jpg', 'Inteligente e ágil.', NULL, 'Disponível', 201),
(312, 'Sasha', 'Pequeno', 'Felina', 'Tricolor', 'Turkish Van', '/imagens/felina/sasha2.jpg', 'Muito afetuosa.', NULL, 'Disponível', 812),
(313, 'Hunter', 'Grande', 'Canina', 'Cinza e Branco', 'Alaskan Malamute', '/imagens/canina/hunter.jpg', 'Forte e leal.', '978901234', 'Disponível', 50),
(314, 'Maya', 'Pequeno', 'Felina', 'Preto', 'Bombay', '/imagens/felina/maya.jpg', 'Muito carinhosa.', NULL, 'Adotado', 700);
